Id;Label;Annee_Bibliographique;Nom;Titre;Revue;nb_cit
39051230;DREZE,1971;1971;DREZE-JH;TATONNEMENT PROCESS FOR PUBLIC GOODS;REVIEW OF ECONOMIC STUDIES; 7
40480155;NORDHAUS,1975;1975;NORDHAUS-WD;POLITICAL BUSINESS CYCLE;REVIEW OF ECONOMIC STUDIES; 3
40194103;BERNDT,1974;1974;BERNDT-ER;TESTING FOR EXISTENCE OF A CONSISTENT AGGREGATE INDEX OF LABOR INPUTS;AMERICAN ECONOMIC REVIEW; 1
39960458;FERBER,1973;1973;FERBER-R;CONSUMER ECONOMICS - SURVEY;JOURNAL OF ECONOMIC LITERATURE; 3
41048288;SCHMALENSEE,1976;1976;SCHMALENSEE-R;EXPERIMENTAL STUDY OF EXPECTATION FORMATION;ECONOMETRICA; 0
40551833;SANDMO,1975;1975;SANDMO-A;OPTIMAL TAXATION IN PRESENCE OF EXTERNALITIES;SWEDISH JOURNAL OF ECONOMICS; 2
40947441;MARKUSEN,1975;1975;MARKUSEN-JR;INTERNATIONAL EXTERNALITIES AND OPTIMAL TAX STRUCTURES;JOURNAL OF INTERNATIONAL ECONOMICS; 0
41292188;ENZLER,1976;1976;ENZLER-J;SOME PROBLEMS OF MONEY DEMAND;BROOKINGS PAPERS ON ECONOMIC ACTIVITY; 0
39449791;BORCHERD.TE,1972;1972;BORCHERD.TE;DEMAND FOR SERVICES OF NON-FEDERAL GOVERNMENTS;AMERICAN ECONOMIC REVIEW; 9
38610155;BARRO,1970;1970;BARRO-RJ;INFLATION, PAYMENTS PERIOD, AND DEMAND FOR MONEY;JOURNAL OF POLITICAL ECONOMY;10
39619143;PHELPS,1973;1973;PHELPS-ES;INFLATION IN THEORY OF PUBLIC FINANCE;SWEDISH JOURNAL OF ECONOMICS; 5
41414826;VINING,1976;1976;VINING-DR;RELATIONSHIP BETWEEN RELATIVE PRICES AND GENERAL PRICE-LEVEL;AMERICAN ECONOMIC REVIEW; 0
41405951;DAVIDSON,1976;1976;DAVIDSON-LS;NOTE ON MICRO-FOUNDATIONS OF MACROECONOMICS - CONTRIBUTION OF WICKSTEED,PH;RIVISTA INTERNAZIONALE DI SCIENZE ECONOMICHE E COMMERCIALI; 0
39444043;MILLERON,1972;1972;MILLERON-J;THEORY OF VALUE WITH PUBLIC GOODS - SURVEY ARTICLE;JOURNAL OF ECONOMIC THEORY; 3
40396040;LLOYD,1974;1974;LLOYD-PJ;MORE GENERAL THEORY OF PRICE DISTORTIONS IN OPEN ECONOMIES;JOURNAL OF INTERNATIONAL ECONOMICS; 0
41157851;JAMES,1976;1976;JAMES-JA;CONUNDRUM OF LOW ISSUE OF NATIONAL BANK NOTES;JOURNAL OF POLITICAL ECONOMY; 0
39433785;TSIANG,1972;1972;TSIANG-SC;RATIONALE OF MEAN-STANDARD DEVIATION ANALYSIS, SKEWNESS PREFERENCE, AND DEMAND FOR MONEY;AMERICAN ECONOMIC REVIEW; 2
41282861;FELDSTEIN,1976;1976;FELDSTEIN-M;THEORY OF TAX-REFORM;JOURNAL OF PUBLIC ECONOMICS; 1
41307252;OKUNO,1976;1976;OKUNO-M;GENERAL EQUILIBRIUM WITH MONEY - INDETERMINACY OF PRICE-LEVEL AND EFFICIENCY;JOURNAL OF ECONOMIC THEORY; 0
41379110;BARRO,1976;1976;BARRO-RJ;RATIONAL EXPECTATIONS AND ROLE OF MONETARY-POLICY;JOURNAL OF MONETARY ECONOMICS; 4
41096050;FASE,1976;1976;FASE-MMG;INTERDEPENDENCE OF SHORT-TERM INTEREST-RATES IN MAJOR FINANCIAL CENTERS OF WORLD - SOME EVIDENCE FOR 1961-1972;KYKLOS; 0
38685033;ZWICK,1971;1971;ZWICK-B;ADJUSTMENT OF ECONOMY TO MONETARY CHANGES;JOURNAL OF POLITICAL ECONOMY; 3
38341471;POOLE,1970;1970;POOLE-W;OPTIMAL CHOICE OF MONETARY POLICY INSTRUMENTS IN A SIMPLE STOCHASTIC MACRO MODEL;QUARTERLY JOURNAL OF ECONOMICS;18
38302686;VANDERKAMP,1970;1970;VANDERKAMP-J;ECONOMIC ACTIVITY AND STRIKES IN CANADA;INDUSTRIAL RELATIONS; 1
40439400;TIMBERLA.RH,1974;1974;TIMBERLA.RH;DENOMINATIONAL FACTORS IN NINETEENTH-CENTURY CURRENCY EXPERIENCE;JOURNAL OF ECONOMIC HISTORY; 0
41259039;MUSSA,1976;1976;MUSSA-M;EXCHANGE-RATE, BALANCE OF PAYMENTS AND MONETARY AND FISCAL-POLICY UNDER A REGIME OF CONTROLLED FLOATING;SCANDINAVIAN JOURNAL OF ECONOMICS; 2
38620469;EISNER,1970;1970;EISNER-R;TAX POLICY AND INVESTMENT BEHAVIOR - FURTHER COMMENT;AMERICAN ECONOMIC REVIEW; 2
41313065;HAMADA,1976;1976;HAMADA-K;STRATEGIC ANALYSIS OF MONETARY INTERDEPENDENCE;JOURNAL OF POLITICAL ECONOMY; 0
41357310;PINDYCK,1976;1976;PINDYCK-RS;COST OF CONFLICTING OBJECTIVES IN POLICY FORMULATION;ANNALS OF ECONOMIC AND SOCIAL MEASUREMENT; 0
41031766;FALLON,1975;1975;FALLON-PR;CAPITAL-SKILL COMPLEMENTARITY, INCOME DISTRIBUTION, AND OUTPUT ACCOUNTING;JOURNAL OF POLITICAL ECONOMY; 0
39433812;SIMS,1972;1972;SIMS-CA;MONEY, INCOME, AND CAUSALITY;AMERICAN ECONOMIC REVIEW;15
40380293;HUDSON,1974;1974;HUDSON-EA;US ENERGY POLICY AND ECONOMIC GROWTH, 1975-2000;BELL JOURNAL OF ECONOMICS; 0
41247965;AHSAN,1976;1976;AHSAN-SM;TAXATION IN A 2-PERIOD TEMPORAL MODEL OF CONSUMPTION AND PORTFOLIO ALLOCATION;JOURNAL OF PUBLIC ECONOMICS; 0
39509601;ALLINGHA.MG,1972;1972;ALLINGHA.MG;RISK-TAKING AND TAXATION;ZEITSCHRIFT FUR NATIONALOKONOMIE; 1
38869775;WILDE,1971;1971;WILDE-JA;GRANTS-IN-AID - ANALYTICS OF DESIGN AND RESPONSE;NATIONAL TAX JOURNAL; 0
39976909;OSTROY,1974;1974;OSTROY-JM;MONEY AND DECENTRALIZATION OF EXCHANGE;ECONOMETRICA; 3
41216607;KREGEL,1976;1976;KREGEL-JA;ECONOMIC METHODOLOGY IN FACE OF UNCERTAINTY - MODELING METHODS OF KEYNES AND POST-KEYNESIANS;ECONOMIC JOURNAL; 0
41344369;MORISHIMA,1976;1976;MORISHIMA-M;POSITIVE PROFITS WITH NEGATIVE SURPLUS VALUE - COMMENT;ECONOMIC JOURNAL; 0
40988007;STEEDMAN,1975;1975;STEEDMAN-I;POSITIVE PROFITS WITH NEGATIVE SURPLUS VALUE;ECONOMIC JOURNAL; 1
41511563;WOLFSTETTER,1976;1976;WOLFSTETTER-E;POSITIVE PROFITS WITH NEGATIVE SURPLUS VALUE - COMMENT;ECONOMIC JOURNAL; 0
41248328;ORR,1976;1976;ORR-LL;INCOME TRANSFERS AS A PUBLIC GOOD - APPLICATION TO AFDC;AMERICAN ECONOMIC REVIEW; 0
41213645;WAGNER,1976;1976;WAGNER-RE;REVENUE STRUCTURE, FISCAL ILLUSION, AND BUDGETARY CHOICE;PUBLIC CHOICE; 0
40749392;BENASSY,1975;1975;BENASSY-JP;NEO-KEYNESIAN DISEQUILIBRIUM THEORY IN A MONETARY ECONOMY;REVIEW OF ECONOMIC STUDIES; 1
39162382;MUENCH,1972;1972;MUENCH-TJ;CORE AND LINDAHL EQUILIBRIUM OF AN ECONOMY WITH A PUBLIC GOOD - EXAMPLE;JOURNAL OF ECONOMIC THEORY; 2
39714667;ETHIER,1973;1973;ETHIER-W;INTERNATIONAL TRADE AND FORWARD EXCHANGE MARKET;AMERICAN ECONOMIC REVIEW; 1
38920145;KESSELMA.J,1971;1971;KESSELMA.J;ROLE OF SPECULATION IN FORWARD-RATE DETERMINATION - CANADIAN FLEXIBLE DOLLAR 1953-1960;CANADIAN JOURNAL OF ECONOMICS; 4
39726201;VANBELLE,1973;1973;VANBELLE-JJ;NEGLECTED ASPECT OF MODERN THEORY OF FORWARD EXCHANGE;SOUTHERN ECONOMIC JOURNAL; 0
40495396;BLINDER,1975;1975;BLINDER-AS;DISTRIBUTION EFFECTS AND AGGREGATE CONSUMPTION FUNCTION;JOURNAL OF POLITICAL ECONOMY; 1
39449792;NELSON,1972;1972;NELSON-CR;PREDICTION PERFORMANCE OF FRB-MIT-PENN MODEL OF U-S ECONOMY;AMERICAN ECONOMIC REVIEW; 7
41507396;MIRRLEES,1976;1976;MIRRLEES-JA;OPTIMAL TAX THEORY - SYNTHESIS;JOURNAL OF PUBLIC ECONOMICS; 0
41247864;JAKOBSSON,1976;1976;JAKOBSSON-U;MEASUREMENT OF DEGREE OF PROGRESSION;JOURNAL OF PUBLIC ECONOMICS; 1
41474752;WEISS,1976;1976;WEISS-L;DESIRABILITY OF CHEATING INCENTIVES AND RANDOMNESS IN OPTIMAL INCOME-TAX;JOURNAL OF POLITICAL ECONOMY; 0
40672156;DOGAS,1975;1975;DOGAS-D;TRADE-UNIONS AND WAGE INFLATION IN UK - CRITIQUE OF PURDY AND ZIS;APPLIED ECONOMICS; 1
41459648;PURDY,1976;1976;PURDY-DL;TRADE-UNIONS AND WAGE INFLATION IN UK - REPLY;APPLIED ECONOMICS; 0
40056329;SHAIKH,1974;1974;SHAIKH-A;LAWS OF PRODUCTION AND LAWS OF ALGEBRA - HUMBUG PRODUCTION FUNCTION;REVIEW OF ECONOMICS AND STATISTICS; 0
41247960;EDELSON,1976;1976;EDELSON-NM;VOTING EQUILIBRIA WITH MARKET-BASED ASSESSMENTS;JOURNAL OF PUBLIC ECONOMICS; 0
39495155;FISCHER,1972;1972;FISCHER-S;INVESTMENT, 2-SECTOR MODEL AND TRADE IN DEBT AND CAPITAL GOODS;JOURNAL OF INTERNATIONAL ECONOMICS; 4
40814637;LANYI,1975;1975;LANYI-A;SEPARATE EXCHANGE MARKETS FOR CAPITAL AND CURRENT TRANSACTIONS;INTERNATIONAL MONETARY FUND STAFF PAPERS; 1
41379333;SHEIKH,1976;1976;SHEIKH-MA;BLACK MARKET FOR FOREIGN-EXCHANGE, CAPITAL FLOWS AND SMUGGLING;JOURNAL OF DEVELOPMENT ECONOMICS; 0
38704378;BARRO,1971;1971;BARRO-RJ;GENERAL DISEQUILIBRIUM MODEL OF INCOME AND EMPLOYMENT;AMERICAN ECONOMIC REVIEW;27
38964823;GROSSMAN,1971;1971;GROSSMAN-HI;MONEY, INTEREST, AND PRICES IN MARKET DISEQUILIBRIUM;JOURNAL OF POLITICAL ECONOMY;14
41414808;BRUNO,1976;1976;BRUNO-M;2-SECTOR OPEN-ECONOMY AND REAL EXCHANGE-RATE;AMERICAN ECONOMIC REVIEW; 0
40087940;KURZ,1974;1974;KURZ-M;EQUILIBRIUM WITH TRANSACTION COST AND MONEY IN A SINGLE MARKET EXCHANGE ECONOMY;JOURNAL OF ECONOMIC THEORY; 4
39833354;STARRETT,1973;1973;STARRETT-D;INEFFICIENCY AND DEMAND FOR MONEY IN A SEQUENCE ECONOMY;REVIEW OF ECONOMIC STUDIES; 4
40764077;BUCHANAN,1975;1975;BUCHANAN-JM;PUBLIC FINANCE AND PUBLIC CHOICE;NATIONAL TAX JOURNAL; 0
41379225;LUCAS,1976;1976;LUCAS-RE;ECONOMETRIC POLICY EVALUATION - CRITIQUE;CARNEGIE-ROCHESTER CONFERENCE SERIES ON PUBLIC POLICY; 0
41495052;CODDINGTON,1976;1976;CODDINGTON-A;KEYNESIAN ECONOMICS - SEARCH FOR 1ST PRINCIPLES;JOURNAL OF ECONOMIC LITERATURE; 0
40771209;FAULHABER,1975;1975;FAULHABER-GR;CROSS-SUBSIDIZATION - PRICING IN PUBLIC ENTERPRISES;AMERICAN ECONOMIC REVIEW; 0
38841765;BRADFORD,1971;1971;BRADFORD-DF;ANALYSIS OF REVENUE SHARING IN A NEW APPROACH TO COLLECTIVE FISCAL DECISIONS;QUARTERLY JOURNAL OF ECONOMICS; 0
38849725;FROST,1971;1971;FROST-PA;BANKS DEMAND FOR EXCESS RESERVES;JOURNAL OF POLITICAL ECONOMY; 2
39433820;TAYLOR,1972;1972;TAYLOR-LD;ADVERTISING AND AGGREGATE CONSUMPTION FUNCTION;AMERICAN ECONOMIC REVIEW; 1
41259041;DORNBUSCH,1976;1976;DORNBUSCH-R;THEORY OF FLEXIBLE EXCHANGE-RATE REGIMES AND MACROECONOMIC POLICY;SCANDINAVIAN JOURNAL OF ECONOMICS; 4
39051233;ATKINSON,1971;1971;ATKINSON-AB;CAPITAL TAXES, REDISTRIBUTION OF WEALTH AND INDIVIDUAL SAVINGS;REVIEW OF ECONOMIC STUDIES; 0
39203917;SIEGEL,1972;1972;SIEGEL-JJ;RISK, INTEREST RATES AND FORWARD EXCHANGE;QUARTERLY JOURNAL OF ECONOMICS; 2
38341479;FRIEDMAN,1970;1970;FRIEDMAN-M;MONEY AND INCOME - POST HOC ERGO PROPTER HOC - COMMENT;QUARTERLY JOURNAL OF ECONOMICS; 1
41379122;GRAY,1976;1976;GRAY-JA;WAGE INDEXATION - MACROECONOMIC APPROACH;JOURNAL OF MONETARY ECONOMICS; 0
40656852;BRUBAKER,1975;1975;BRUBAKER-ER;FREE RIDE, FREE REVELATION, OR GOLDEN RULE;JOURNAL OF LAW & ECONOMICS; 0
41311618;JAFFE,1976;1976;JAFFE-JF;FISHER EFFECT FOR RISKY ASSETS - EMPIRICAL-INVESTIGATION;JOURNAL OF FINANCE; 0
39449786;BEHRMAN,1972;1972;BEHRMAN-JR;SECTORAL INVESTMENT DETERMINATION IN A DEVELOPING ECONOMY;AMERICAN ECONOMIC REVIEW; 1
41205019;BLINDER,1976;1976;BLINDER-AS;INTERGENERATIONAL TRANSFERS AND LIFE-CYCLE CONSUMPTION;AMERICAN ECONOMIC REVIEW; 0
39608232;MIKESELL,1973;1973;MIKESELL-RF;NATURE OF SAVINGS FUNCTION IN DEVELOPING COUNTRIES - SURVEY OF THEORETICAL AND EMPIRICAL LITERATURE;JOURNAL OF ECONOMIC LITERATURE; 2
41536448;CHANG,1976;1976;CHANG-CF;LIQUIDITY PREFERENCE AND LOANABLE FUNDS THEORIES - SYNTHESIS;AUSTRALIAN ECONOMIC PAPERS; 0
38610097;FRIEDMAN,1970;1970;FRIEDMAN-M;THEORETICAL FRAMEWORK FOR MONETARY ANALYSIS;JOURNAL OF POLITICAL ECONOMY;28
39688977;GRANGER,1973;1973;GRANGER-CWJ;SOME COMMENTS ON EVALUATION OF ECONOMIC FORECASTS;APPLIED ECONOMICS; 1
40778883;LUCAS,1975;1975;LUCAS-RE;EQUILIBRIUM MODEL OF BUSINESS CYCLE;JOURNAL OF POLITICAL ECONOMY; 1
40976743;ROBINSON,1975;1975;ROBINSON-J;UNIMPORTANCE OF RESWITCHING;QUARTERLY JOURNAL OF ECONOMICS; 1
39530994;TURNOVSK.SJ,1973;1973;TURNOVSK.SJ;OPTIMAL STABILIZATION POLICIES FOR DETERMINISTIC AND STOCHASTIC LINEAR ECONOMIC SYSTEMS;REVIEW OF ECONOMIC STUDIES; 6
40814634;ARTUS,1975;1975;ARTUS-JR;1967 DEVALUATION OF POUND STERLING;INTERNATIONAL MONETARY FUND STAFF PAPERS; 0
40771201;DORNBUSCH,1975;1975;DORNBUSCH-R;EXCHANGE-RATES AND FISCAL-POLICY IN A POPULAR MODEL OF INTERNATIONAL-TRADE;AMERICAN ECONOMIC REVIEW; 0
41340300;DORNBUSCH,1976;1976;DORNBUSCH-R;EXCHANGE-RATE EXPECTATIONS AND MONETARY-POLICY;JOURNAL OF INTERNATIONAL ECONOMICS; 0
40598838;NIEHANS,1975;1975;NIEHANS-J;SOME DOUBTS ABOUT EFFICACY OF MONETARY-POLICY UNDER FLEXIBLE EXCHANGE-RATES;JOURNAL OF INTERNATIONAL ECONOMICS; 3
40695946;JACOBS,1975;1975;JACOBS-RL;DIFFICULTY WITH MONETARIST MODELS OF HYPERINFLATION;ECONOMIC INQUIRY; 0
41031767;FOLEY,1975;1975;FOLEY-DK;2 SPECIFICATIONS OF ASSET EQUILIBRIUM IN MACROECONOMIC MODELS;JOURNAL OF POLITICAL ECONOMY; 1
38642554;KAUN,1970;1970;KAUN-DE;RELATION BETWEEN WAGES AND UNEMPLOYMENT IN US CITIES 1955-1965;MANCHESTER SCHOOL OF ECONOMIC AND SOCIAL STUDIES; 0
41224187;FEIGE,1976;1976;FEIGE-EL;ECONOMICALLY RATIONAL EXPECTATIONS - ARE INNOVATIONS IN RATE OF INFLATION INDEPENDENT OF INNOVATIONS IN MEASURES OF MONETARY AND FISCAL-POLICY;JOURNAL OF POLITICAL ECONOMY; 0
40497087;CARLSON,1975;1975;CARLSON-JA;INFLATION EXPECTATIONS;ECONOMICA; 9
40948833;BUCHANAN,1975;1975;BUCHANAN-JM;POLLUTERS PROFITS AND POLITICAL RESPONSE - DIRECT CONTROLS VERSUS TAXES;AMERICAN ECONOMIC REVIEW; 5
39379494;GOLDMAN,1972;1972;GOLDMAN-SM;HYPERINFLATION AND RATE OF GROWTH IN MONEY SUPPLY;JOURNAL OF ECONOMIC THEORY; 6
38620333;STEIN,1970;1970;STEIN-JL;MONETARY GROWTH THEORY IN PERSPECTIVE;AMERICAN ECONOMIC REVIEW;15
41511564;STEEDMAN,1976;1976;STEEDMAN-I;POSITIVE PROFITS WITH NEGATIVE SURPLUS VALUE - REPLY TO WOLFSTETTER;ECONOMIC JOURNAL; 0
40713039;TAYLOR,1975;1975;TAYLOR-JB;MONETARY-POLICY DURING A TRANSITION TO RATIONAL EXPECTATIONS;JOURNAL OF POLITICAL ECONOMY; 1
39714655;ELLICKSO.B,1973;1973;ELLICKSO.B;GENERALIZATION OF PURE THEORY OF PUBLIC GOODS;AMERICAN ECONOMIC REVIEW; 3
38610124;PAULY,1970;1970;PAULY-MV;OPTIMALITY, PUBLIC GOODS, AND LOCAL GOVERNMENTS - GENERAL THEORETICAL ANALYSIS;JOURNAL OF POLITICAL ECONOMY; 5
41003071;GUESNERIE,1975;1975;GUESNERIE-R;PRODUCTION OF PUBLIC SECTOR AND TAXATION IN A SIMPLE SECOND BEST MODEL;JOURNAL OF ECONOMIC THEORY; 0
41247858;BRUNO,1976;1976;BRUNO-M;TAXES, FAMILY GRANTS AND REDISTRIBUTION;JOURNAL OF PUBLIC ECONOMICS; 0
41282856;MUSGRAVE,1976;1976;MUSGRAVE-RA;ET, OT AND SBT;JOURNAL OF PUBLIC ECONOMICS; 0
40431006;FISCHER,1974;1974;FISCHER-S;MONEY AND PRODUCTION FUNCTION;ECONOMIC INQUIRY; 1
38620414;BAUMOL,1970;1970;BAUMOL-WJ;OPTIMAL DEPARTURES FROM MARGINAL COST PRICING;AMERICAN ECONOMIC REVIEW;14
39051245;UHLER,1971;1971;UHLER-RS;STRUCTURE OF ASSET PORTFOLIOS OF HOUSEHOLDS;REVIEW OF ECONOMIC STUDIES; 0
40431002;GORDON,1974;1974;GORDON-DF;NEO-CLASSICAL THEORY OF KEYNESIAN UNEMPLOYMENT;ECONOMIC INQUIRY; 2
41342986;HELLER,1976;1976;HELLER-WP;EQUILIBRIUM WITH NON-CONVEX TRANSACTIONS COSTS - MONETARY AND NON-MONETARY ECONOMIES;REVIEW OF ECONOMIC STUDIES; 0
